Model,accuracy,precision,recall,f1,PCA,PickBest,OverSampling,OverUnderSampling,UnderSampling
Logistic Regression,0.7970645792563602,0.14093136664196285,0.6190000000000001,0.22948014705249492,False,False,True,False,False
KNN,0.8071917808219178,0.09428845094190724,0.34,0.1474811775427918,False,False,True,False,False
Decision Tree,0.865215264187867,0.11787087592753276,0.26999999999999996,0.16325753735160323,False,False,True,False,False
Adaboost,0.9152152641878668,0.15998701372886176,0.17200000000000004,0.16530244748976802,False,False,True,False,False
SVM,0.8191780821917808,0.10394512035886241,0.35300000000000004,0.1603679183800509,False,False,True,False,False
Logistic Regression,0.7041585127201565,0.11029207479588228,0.714,0.19101657852056975,True,False,True,False,False
KNN,0.8054794520547945,0.09202581645176433,0.335,0.1443135787625336,True,False,True,False,False
Decision Tree,0.8541585127201564,0.0890712109299289,0.21400000000000005,0.12554288269326636,True,False,True,False,False
Adaboost,0.8721624266144815,0.09670602246534135,0.19300000000000003,0.12851247654457548,True,False,True,False,False
SVM,0.8652641878669277,0.09809477724962516,0.215,0.13443158490699325,True,False,True,False,False
Logistic Regression,0.7172700587084149,0.11505180064516067,0.714,0.19810382856218248,True,False,False,False,False
KNN,0.9489236790606655,0.16345238095238096,0.013000000000000001,0.023759583312711413,True,False,False,False,False
Decision Tree,0.9121819960861055,0.10082381790341854,0.10100000000000002,0.10007617109952793,True,False,False,False,False
Adaboost,0.9411937377690801,0.1460749308311228,0.038000000000000006,0.05934817556250155,True,False,False,False,False
SVM,0.8330234833659491,0.09817053912713986,0.293,0.146851599970733,True,False,False,False,False
Logistic Regression,0.7422211350293543,0.135907368255829,0.796,0.23207754708756395,False,False,False,False,False
KNN,0.9493639921722116,0.26875,0.018999999999999996,0.03494449076847944,False,False,False,False,False
Decision Tree,0.9172211350293541,0.13133685496017772,0.126,0.12789889100226579,False,False,False,False,False
Adaboost,0.943444227005871,0.1998213224683813,0.05,0.07883649340935801,False,False,False,False,False
SVM,0.807729941291585,0.10964845962582306,0.41100000000000003,0.17296838153044564,False,False,False,False,False
Logistic Regression,0.7422211350293543,0.135907368255829,0.796,0.23207754708756395,False,False,False,False,False
KNN,0.9141878669275929,0.12317546839684916,0.12200000000000003,0.12229188875475624,False,False,False,False,False
Decision Tree,0.8297945205479451,0.13728824858780592,0.4699999999999999,0.2120602862916237,False,False,False,False,False
Adaboost,0.7984833659491195,0.1529051411835799,0.6809999999999999,0.24881021194779235,False,False,False,False,False
SVM,0.729843444227006,0.13153006619267815,0.807,0.22613147882007323,False,False,False,False,False
Logistic Regression,0.7233365949119374,0.12162540920482297,0.7470000000000001,0.20910616253171405,True,False,False,False,False
KNN,0.9108610567514676,0.07751849364929343,0.07600000000000003,0.07649239893203584,True,False,False,False,False
Decision Tree,0.7684442270058709,0.09619683626048356,0.44300000000000006,0.15758974974996737,True,False,False,False,False
Adaboost,0.7966731898238747,0.12326545743658816,0.5170000000000001,0.1953912623603672,True,False,False,False,False
SVM,0.7211839530332681,0.12060069546077354,0.746,0.2075564960607165,True,False,False,False,False
